dim,tau,score3,1,3.0510875890440667
6,18,4.642256033794479
6,19,4.493883199777088
6,20,4.360869725932521
6,21,4.206509157289419
6,22,4.070863093806562
6,23,3.912452166412314
6,24,3.775095494479834
6,25,3.6141859715913602
6,26,3.4757612876516886
6,27,3.313612360230277
6,28,3.174636028517188
6,29,3.012345914765704
6,30,2.8733741196592355
6,31,2.7119820795194194
6,32,2.573730192954458
6,33,2.4143884985607635
6,34,2.2778862267097537
6,35,2.1219012763350364
6,36,1.9885146576397685
6,37,1.8373978474716202
6,38,1.7087721648680287
6,39,1.5641689013902853
7,1,7.102127344071179
7,2,7.060890779856275
7,3,7.044997802642455
7,4,6.992589287810966
7,5,6.911766229723438
7,6,6.828122614282439
7,7,6.725213952361686
7,8,6.605506782647051
7,9,6.47394478705594
7,10,6.332670972862235
7,11,6.17725519276791
7,12,6.00777734427824
7,13,5.844745435017385
7,14,5.658972707402427
7,15,5.48531465194995
7,16,5.287687372563056
7,17,5.082765191925329
7,18,4.900969899538313
7,19,4.690010591513877
7,20,4.504236382359726
7,21,4.289755231615769
7,22,4.073051680192655
7,23,3.885384067880259
7,24,3.668299025194406
7,25,3.4797008046800872
7,26,3.263791286165782
7,27,3.048861555497091
7,28,2.862749105608631
7,29,2.6519833152061643
7,30,2.469438993100813
7,31,2.2653626435253233
7,32,2.065582488590681
7,33,1.8949549860703965
7,34,1.7063432973643424
7,35,1.5471264190489196
7,36,1.372692971446222
7,37,1.2058397604155024
7,38,1.0699868839331974
7,39,0.9208815389887322
8,1,8.109465166933505
8,2,8.042936594466251
8,3,8.03509462555649
8,4,7.939465853443522
8,5,7.834103201192343
8,6,7.702069335812584
8,7,7.546166134817659
8,8,7.373398032919754
8,9,7.178931146860237
8,10,6.979512745734847
8,11,6.756800000595423
8,12,6.519039939366743
8,13,6.268673595003091
8,14,6.038896548262101
8,15,5.775653886961361
8,16,5.505647908976797
8,17,5.265150392117968
8,18,4.989792116355972
8,19,4.711751076738593
8,20,4.466656137102052
8,21,4.187907450404126
8,22,3.909371454498965
8,23,3.632128773448667
8,24,3.3890196006851188
8,25,3.116961341294286
8,26,2.849074505945551
8,27,2.6155521141755464
8,28,2.3594339130763915
8,29,2.1111193956193115
8,30,1.8991205191738243
8,31,1.6705074078053714
8,32,1.4532437131065383
8,33,1.248250032989942
8,34,1.083306545761711
8,35,0.9061913258415908
8,36,0.7439641754995474
8,37,0.6234448286601557
8,38,0.49398609331475773
8,39,0.38143945999142437
9,1,9.113950574920251
9,2,9.014490690506102
9,3,9.00147088726913
9,4,8.880652768374913
9,5,8.716846957666704
9,6,8.533255656061131
9,7,8.317889389118376
9,8,8.07392197343254
9,9,7.804884116520819
9,10,7.537565055381484
9,11,7.237071048165898
9,12,6.921583753754595
9,13,6.594340850000773
9,14,6.258355384938188
9,15,5.954624810600645
9,16,5.610892057736505
9,17,5.263970716943732
9,18,4.915590252140658
9,19,4.567260017801754
9,20,4.257561977513358
9,21,3.912786199393965
9,22,3.571977623639369
9,23,3.2368244020147623
9,24,2.9091680423680124
9,25,2.6230000033613625
9,26,2.3161015864702157
9,27,2.0228640464585212
9,28,1.7451294695147155
9,29,1.4845363658504507
9,30,1.2728619048241918
9,31,1.0511129391660448
9,32,0.8504359782262849
9,33,0.6719225400085462
9,34,0.5164635403271447
9,35,0.4136522154601958
9,36,0.3052130204744046
9,37,0.21909312898431255
9,38,0.15319189783443088
9,39,0.10424440088028852
10,1,10.115252455295485
10,2,10.073770443290265
10,3,9.954940276293598
10,4,9.789725461088565
10,5,9.57775822029978
10,6,9.322484115162533
10,7,9.028815626656833
10,8,8.702148473849666
10,9,8.347954255842641
10,10,8.003725744963617
10,11,7.616313381304902
10,12,7.214900095265969
10,13,6.803262360942157
10,14,6.384632223498282
10,15,5.961690432464935
10,16,5.536669753318693
10,17,5.111520595954145
10,18,4.688086553485256
10,19,4.2682881292355415
10,20,3.8930290104984198
10,21,3.486135253883847
10,22,3.0905389609293876
10,23,2.709378527090099
10,24,2.345839559183373
10,25,2.0029166856539575
10,26,1.6832418460052718
10,27,1.389031472046025
10,28,1.1221838395124797
10,29,0.8843866546879067
10,30,0.7100876356211683
10,31,0.5336806472207152
10,32,0.38845493230587946
10,33,0.27333699905736886
10,34,0.18571893857338662
10,35,0.12129048428670952
10,36,0.08513470888505248
10,37,0.05761871599468016
10,38,0.03135536216610246
10,39,0.03911917430008938
11,1,11.113045641930297
11,2,11.053727653083342
11,3,10.89428923164986
11,4,10.675206223888054
11,5,10.397970443291092
11,6,10.068561869944627
11,7,9.694365931298888
11,8,9.282891072610632
11,9,8.841353829562019
11,10,8.37653376784049
11,11,7.894286209293
11,12,7.399720613094342
11,13,6.896889445926252
11,14,6.389121897677085
11,15,5.879245653183539
11,16,5.369906734450146
11,17,4.8638958403364825
11,18,4.364408482396717
11,19,3.8751979873481646
11,20,3.4005856823867404
11,21,2.9452510708326103
11,22,2.5139554195678167
11,23,2.1110448847175487
11,24,1.7401477323833516
11,25,1.4041873219993257
11,26,1.1055755251990194
11,27,0.8462800460448854
11,28,0.6275428864501236
11,29,0.44948134776373916
11,30,0.3105020877812299
11,31,0.20698428532805435
11,32,0.13277136441996396
11,33,0.09210985051602538
11,34,0.06016888240334861
11,35,0.029339331891927944
11,36,0.04163806254352176
11,37,0.18179334614316867
11,38,0.468642771845615
11,39,0.7366611604769964
12,1,12.136237045499287
12,2,12.04989972369003
12,3,11.838039967465136
12,4,11.547056881060508
12,5,11.184392997066404
12,6,10.760200625413912
12,7,10.285300284859172
12,8,9.770089604424145
12,9,9.224141597478459
12,10,8.655784898486399
12,11,8.02026627653142
12,12,7.425415800010835
12,13,6.825694001978734
12,14,6.224496936152356
12,15,5.625163479678834
12,16,5.031518904521155
12,17,4.44825885580765
12,18,3.88109081007181
12,19,3.3365511278817834
12,20,2.821482222194878
12,21,2.300267181391693
12,22,1.8628586381272054
12,23,1.4708008669657393
12,24,1.1272640221620316
12,25,0.8346076428324003
12,26,0.593936447352831
12,27,0.4043860068006362
12,28,0.2624363400392191
12,29,0.16145453131500354
12,30,0.09596464416292472
12,31,0.023956762258070974
12,32,0.04715908147629433
12,33,0.08379773311082861
12,34,0.2258371412484368
12,35,0.5632606161777765
12,36,0.8738966610826648
12,37,1.1505741171229178
12,38,1.3897410727631674
12,39,1.5896630821300293
13,1,13.129363763988335
13,2,13.01802831805615
13,3,12.7496200923141
13,4,12.384515281983443
13,5,11.93409383945818
13,6,11.391309978161452
13,7,10.805973720451467
13,8,10.178541086596322
13,9,9.520755005024114
13,10,8.8421765406231
13,11,8.093286718641945
13,12,7.394767571404319
13,13,6.6939876348376615
13,14,5.995525836378774
13,15,5.304866756069624
13,16,4.579768542126201
13,17,3.9292509137365874
13,18,3.310770358823284
13,19,2.733758685812599
13,20,2.206348036732282
13,21,1.6899469029959522
13,22,1.2798546956420798
13,23,0.9334642178263457
13,24,0.6522617585580335
13,25,0.43499966735906526
13,26,0.2346928656316014
13,27,0.12488200936402727
13,28,0.06085565257383685
13,29,0.028036104482262125
13,30,0.05064612917456923
13,31,0.09451244343890552
13,32,0.48816517922888014
13,33,0.8608578205618347
13,34,1.1919966430324758
13,35,1.4763545550205475
13,36,1.7111829122845585
13,37,1.8949649144661262
13,38,2.030906329206748
13,39,2.1223420325641174
14,1,14.118153342803918
14,2,13.977823753868943
14,3,13.643861183050445
14,4,13.19376501525317
14,5,12.635630547325842
14,6,11.997742082392445
14,7,11.254669374650831
14,8,10.507835918810635
14,9,9.731808137960382
14,10,8.937012621508154
14,11,8.07014079870377
14,12,7.262732752652633
14,13,6.457282279509454
14,14,5.605815567615414
14,15,4.831981815176165
14,16,4.0881113249496135
14,17,3.3370679808198114
14,18,2.692630854892389
14,19,2.113366658813782
14,20,1.6064019236110831
14,21,1.1297983226006005
14,22,0.7818165048251808
14,23,0.5134413128645985
14,24,0.27478862717761254
14,25,0.14261604675905337
14,26,0.06456563000571913
14,27,0.05442372345475732
14,28,0.09928070158684532
14,29,0.19401503084102867
14,30,0.6489642562855971
14,31,1.0662254716484778
14,32,1.4258246122065286
14,33,1.7254098680918712
14,34,1.959991441580438
14,35,2.136047376603425
14,36,2.255952230882094
14,37,2.304931772994639
14,38,2.3254091761566777
14,39,2.3041055224449054
15,1,15.102296048681023
15,2,14.928742239173154
15,3,14.532328578716717
15,4,13.977842977815326
15,5,13.309013682501668
15,6,12.518037042864773
15,7,11.690492529592309
15,8,10.758538195351122
15,9,9.858552781204128
15,10,8.942043632280503
15,11,7.9532431639220125
15,12,7.033218398366961
15,13,6.063017001239739
15,14,5.178531288577407
15,15,4.330681270569185
15,16,3.483753121670073
15,17,2.761356808273294
15,18,2.0686676618481328
15,19,1.5206156523601382
15,20,1.0686409472882614
15,21,0.6661095720244932
15,22,0.40744218563663104
15,23,0.18505950450375064
15,24,0.07269746096237917
15,25,0.0261679801541157
15,26,0.10703576581347951
15,27,0.1722544984030039
15,28,0.6949009105966826
15,29,1.1667476123731855
15,30,1.5706438937139908
15,31,1.900816230126877
15,32,2.1550464285120845
15,33,2.325196960007043
15,34,2.4389380359468884
15,35,2.493052960476011
15,36,2.4668390076417612
15,37,2.417044307357515
15,38,2.2906544869067385
15,39,2.1563230404259937
16,1,16.08148707527752
16,2,15.870243536424471
16,3,15.39304945157657
16,4,14.731171711950868
16,5,13.917749037469404
16,6,13.024149014916201
16,7,12.009283886617698
16,8,11.003113214454965
16,9,9.902690181279914
16,10,8.859430583581398
16,11,7.745800570614842
16,12,6.712098381226838
16,13,5.640926038761819
16,14,4.676276897019161
16,15,3.7189927206470745
16,16,2.904812491806271
16,17,2.1356309538212335
16,18,1.5341919119083443
16,19,0.9966205305159406
16,20,0.631022204004922
16,21,0.324757264983516
16,22,0.1602125206181375
16,23,0.029856273201158245
16,24,0.062486739101879074
16,25,0.07477985630289163
16,26,0.5922386806203637
16,27,1.1458875087108038
16,28,1.617275595762775
16,29,2.0003592779675077
16,30,2.292297023934507
16,31,2.4861198067239947
16,32,2.610317796684753
16,33,2.6386500702003137
16,34,2.6266920079924505
16,35,2.5242608487188
16,36,2.4012592428809243
16,37,2.1998717058060904
16,38,1.9955521349537921
16,39,1.7353703893478136
17,1,17.178627362644033
17,2,16.82869513047757
17,3,16.23364827597921
17,4,15.441462829895395
17,5,14.510842633770789
17,6,13.430011039230362
17,7,12.25590279990998
17,8,11.11034970954687
17,9,9.866223866480627
17,10,8.691881588563174
17,11,7.452309150202876
17,12,6.242196679833231
17,13,5.146538106135519
17,14,4.061355539980057
17,15,3.137511062848017
17,16,2.273975281138327
17,17,1.545486408914189
17,18,1.0164966562936124
17,19,0.5727225620281899
17,20,0.31039806779330004
17,21,0.0986104473193663
17,22,0.06679136188116974
17,23,0.12031759837876077
17,24,0.3125884858537864
17,25,0.965987574434295
17,26,1.5378733740223987
17,27,2.0025643057988587
17,28,2.3599292191205623
17,29,2.5996153564499713
17,30,2.7544116418863083
17,31,2.797093543774366
17,32,2.7535853250572457
17,33,2.6753882810965313
17,34,2.497660820393727
17,35,2.304109271567055
17,36,2.0355309795587364
17,37,1.740852528765398
17,38,1.472010235253777
17,39,1.1722214087404446
18,1,18.16999941228002
18,2,17.753606098220715
18,3,17.05199349623269
18,4,16.135405090353853
18,5,15.021261858284294
18,6,13.768585705732482
18,7,12.513810257766774
18,8,11.142157144059938
18,9,9.751440527650939
18,10,8.442887937820803
18,11,7.079079933552903
18,12,5.765909936190681
18,13,4.533524601679485
18,14,3.478288152831265
18,15,2.4976523980294987
18,16,1.6755984096854135
18,17,1.0817311220938786
18,18,0.5946246328986886
18,19,0.26038224615678374
18,20,0.0940244735390241
18,21,0.0700622117592804
18,22,0.17605140309247158
18,23,0.5825384775153806
18,24,1.28205627039946
18,25,1.870763018065313
18,26,2.326612224232477
18,27,2.6604573091278216
18,28,2.8580296578483577
18,29,2.936900471173402
18,30,2.9510323690540705
18,31,2.843943651811347
18,32,2.6588925578454994
18,33,2.4104082177305517
18,34,2.1551463412263336
18,35,1.830856708974716
18,36,1.4941925885865892
18,37,1.2076790939253295
18,38,0.9105216974378925
18,39,0.6583541201948231
19,1,19.15820519231241
19,2,18.667695737778473
19,3,17.85435823440231
19,4,16.764384383893475
19,5,15.531620844332155
19,6,14.1242808533526
19,7,12.632381843131808
19,8,11.100663889505146
19,9,9.560956223869557
19,10,8.117045563309752
19,11,6.6346809467154175
19,12,5.232941499302839
19,13,3.9515054312400193
19,14,2.8265097999334214
19,15,1.9494781678581354
19,16,1.2008720424886903
19,17,0.6497537305502572
19,18,0.27812074103112483
19,19,0.06374170314731309
19,20,0.073901280792537
19,21,0.1201918401966724
19,22,0.7855773971722586
19,23,1.5368390723288048
19,24,2.1459344908356357
19,25,2.6076691343010525
19,26,2.9117996571426072
19,27,3.070528748263225
19,28,3.101387204047618
19,29,3.022310369763699
19,30,2.892830548928237
19,31,2.641552478442872
19,32,2.3296774952779264
19,33,1.9787334434399941
19,34,1.6106166868864662
19,35,1.2948915266322514
19,36,0.9691678866885862
19,37,0.6956219821654379
19,38,0.48074013802149995
19,39,0.31001809173305794
20,1,20.143099953879524
20,2,19.570465251444364
20,3,18.634384607906334
20,4,17.39620568553803
20,5,15.94064403006207
20,6,14.347892161796432
20,7,12.68215862156984
20,8,10.988233652829207
20,9,9.29786451232259
20,10,7.720361181693669
20,11,6.130132713080702
20,12,4.660732814263126
20,13,3.35949785304115
20,14,2.261953658837329
20,15,1.3892352611647576
20,16,0.7472054088101672
20,17,0.318128510923259
20,18,0.07482143962939425
20,19,0.14696931178704986
20,20,0.09348558897393655
20,21,0.9137285800167003
20,22,1.7260801378494843
20,23,2.37177415733576
20,24,2.835549316086654
20,25,3.1215390556940834
20,26,3.2472341890671963
20,27,3.2346434100316754
20,28,3.10331853654215
20,29,2.8709129209405226
20,30,2.6037104008998844
20,31,2.2350768323180166
20,32,1.8385931600515582
20,33,1.4421603495809983
20,34,1.0751010283309341
20,35,0.7638491376454919
20,36,0.5198471595056384
20,37,0.3298440643067835
20,38,0.16451061346569418
20,39,0.01646491568083963
21,1,21.12454205714621
21,2,20.46142701306774
21,3,19.391347273099537
21,4,17.993427003751517
21,5,16.3670117840897
21,6,14.601115870238475
21,7,12.76354560410971
21,8,10.901484637251858
21,9,9.052890956460082
21,10,7.26049192145963
21,11,5.578738979013839
21,12,4.068003351176147
21,13,2.778392949314963
21,14,1.7408391315275074
21,15,0.9682371098536535
21,16,0.4473230796616905
21,17,0.13105691632464644
21,18,0.08170251276081242
21,19,0.13228831399212915
21,20,0.9577176538528676
21,21,1.847552871217088
21,22,2.545128000523529
21,23,3.0353834707488945
21,24,3.3257505990025464
21,25,3.4374207136125
21,26,3.394454297161948
21,27,3.218157132208561
21,28,2.9310906133483225
21,29,2.5616634164163115
21,30,2.1428479286592044
21,31,1.708754643352906
21,32,1.2940854241748516
21,33,0.9326188471239512
21,34,0.6459221757299387
21,35,0.42879199547742
21,36,0.2513070352219646
21,37,0.09131817637469997
21,38,0.04706074245131209
21,39,0.5071558097691398
22,1,22.14410516609449
22,2,21.358718131578982
22,3,20.108222429187073
22,4,18.506156568516182
22,5,16.673602850330678
22,6,14.711419405344973
22,7,12.690226573540196
22,8,10.65782595571893
22,9,8.657935585334855
22,10,6.746824172016959
22,11,4.916149175553629
22,12,3.3951566714965162
22,13,2.151861376390392
22,14,1.2102686146785055
22,15,0.5659047526508072
22,16,0.17574680689781008
22,17,0.08696680822913194
22,18,0.21175010112619574
22,19,0.9047219837043263
22,20,1.8932192608763332
22,21,2.655903242509103
22,22,3.178727690333453
22,23,3.4747922919967262
22,24,3.572448081002631
22,25,3.500553068797463
22,26,3.283175773894011
22,27,2.947082103648821
22,28,2.5271669630671543
22,29,2.0635226471370958
22,30,1.5974687998358137
22,31,1.1107577954803824
22,32,0.7549572604641339
22,33,0.48397054697988207
22,34,0.27454221359052067
22,35,0.0939647930073031
22,36,0.0852753139475162
22,37,0.3935397882665139
22,38,0.9575299947688567
22,39,1.4032165703930364
23,1,23.121630586694113
23,2,22.22887754920657
23,3,20.82237725080361
23,4,19.038605414017372
23,5,17.01553944153869
23,6,14.758898359864943
23,7,12.553115953994222
23,8,10.350234701763135
23,9,8.20436736483235
23,10,6.190335357502468
23,11,4.3137040420606425
23,12,2.813290189537665
23,13,1.6469396950771449
23,14,0.8248510620735976
23,15,0.31327456783177166
23,16,0.09983159982933731
23,17,0.23652837296144114
23,18,0.737372776016322
23,19,1.8495791768309022
23,20,2.718114334606202
23,21,3.29932499075142
23,22,3.6315099634925305
23,23,3.7390366389727907
23,24,3.6546086072867894
23,25,3.405873219699865
23,26,2.9725818299978224
23,27,2.5072968425544024
23,28,2.002373438657002
23,29,1.5072598060089062
23,30,1.0704392922478823
23,31,0.6552983204795666
23,32,0.3961603928528197
23,33,0.18928485798259675
23,34,0.012083903130085005
23,35,0.1464426534259573
23,36,0.798462275231878
23,37,1.3306032365550813
23,38,1.7281706943935848
23,39,1.9994403914067176
24,1,24.095404194503693
24,2,23.086039109207636
24,3,21.511932581265164
24,4,19.46072512145668
24,5,17.220342812742654
24,6,14.862204178644147
24,7,12.354993013135784
24,8,9.982497870064773
24,9,7.699384922203869
24,10,5.6031993471403405
24,11,3.7103561831642295
24,12,2.2628554106048497
24,13,1.2040250751710175
24,14,0.45443656285996425
24,15,0.09627793755527314
24,16,0.17274267523104392
24,17,0.43552280426714063
24,18,1.6964962116256812
24,19,2.6950337745150224
24,20,3.39135349995514
24,21,3.761019258176554
24,22,3.8964769005480617
24,23,3.8136808883156146
24,24,3.487429361941767
24,25,3.074234493036446
24,26,2.5662178525048223
24,27,1.9606427144807164
24,28,1.4364626930197248
24,29,0.9874851731767507
24,30,0.6446419784654882
24,31,0.3091734945785216
24,32,0.09861515317603953
24,33,0.09174432723900328
24,34,0.4871956251579892
24,35,1.1368816607981485
24,36,1.6314328037555397
24,37,1.9672071901846637
24,38,2.168820403444677
24,39,2.2451143402090334
25,1,25.065286282479754
25,2,23.92978173822547
25,3,22.134822724419408
25,4,19.927422293420857
25,5,17.477894776437083
25,6,14.801400949563813
25,7,12.209495061420064
25,8,9.558930704703418
25,9,7.151298282913605
25,10,4.998166350247212
25,11,3.1207292072560424
25,12,1.7581344619514168
25,13,0.7598160354164802
25,14,0.22580878012630734
25,15,0.09822657998789452
25,16,0.11841752548564521
25,17,1.405985632968835
25,18,2.5714738104347035
25,19,3.3989569578257717
25,20,3.8920795288457875
25,21,4.041029012133106
25,22,3.978567459833184
25,23,3.6433236323600413
25,24,3.2037987870009506
25,25,2.6570644470013995
25,26,2.011375117272519
25,27,1.4560103983286883
25,28,0.9153750478241163
25,29,0.5670362256679073
25,30,0.31137786276190305
25,31,0.007137616169334393
25,32,0.002408709495409056
25,33,0.7753968162928562
25,34,1.4126526000986823
25,35,1.8857285578425849
25,36,2.1694044655403646
25,37,2.319469490022705
25,38,2.289813009569598
25,39,2.213252116235477
26,1,26.031138471803025
26,2,24.75970148975368
26,3,22.77921631318519
26,4,20.358108151849994
26,5,17.582730083891427
26,6,14.804351087563283
26,7,11.8996817940884
26,8,9.184902370203398
26,9,6.569399961027346
26,10,4.387895842714264
26,11,2.558298668717847
26,12,1.3110146164669372
26,13,0.46212255451658013
26,14,0.07880886781406993
26,15,0.2678637420449004
26,16,0.9481412109207996
26,17,2.32317211596414
26,18,3.3336489358957166
26,19,3.937911096089091
26,20,4.215767499108744
26,21,4.144956366300153
26,22,3.88262316280293
26,23,3.364905460087824
26,24,2.7851720747666846
26,25,2.09637977989782
26,26,1.5040438904072477
26,27,0.9377871520455301
26,28,0.577810305514662
26,29,0.22118234202505338
26,30,0.008800383120728839
26,31,0.19790659203231709
26,32,1.0021143591377175
26,33,1.6332393524954512
26,34,2.089558794904235
26,35,2.325502679751814
26,36,2.4314824291446433
26,37,2.3540432370444444
26,38,2.2262941181459297
26,39,1.9615825412886183
27,1,26.9928234531974
27,2,25.575869993525313
27,3,23.397921232484393
27,4,20.658329758548437
27,5,17.756215968109565
27,6,14.638764393352488
27,7,11.536015881513647
27,8,8.666739193153607
27,9,5.963698747195023
27,10,3.7844913785230263
27,11,2.03536405655239
27,12,0.8513731954059818
27,13,0.23555409143624217
27,14,0.19880027602060313
27,15,0.3024209082139837
27,16,1.9036982391413853
27,17,3.1344217155954244
27,18,3.9416635097625026
27,19,4.305387501491338
27,20,4.366063673322483
27,21,4.077982471942047
27,22,3.5576155797035387
27,23,2.9538098612550723
27,24,2.2198254648672044
27,25,1.5840396973011748
27,26,0.9793656042741192
27,27,0.5044346473019017
27,28,0.22744936439330488
27,29,0.1089381812400978
27,30,0.33871006677906035
27,31,1.1846595739536943
27,32,1.8077740370502298
27,33,2.248940879926163
27,34,2.444019964892667
27,35,2.514311363683242
27,36,2.3942689539169573
27,37,2.168445496058238
27,38,1.9081552145753813
27,39,1.5497345239574916
28,1,27.95020472731509
28,2,26.381633959631255
28,3,23.919599721050766
28,4,21.022697604349712
28,5,17.76374810028049
28,6,14.418999722422944
28,7,11.235348220162267
28,8,8.109844250316016
28,9,5.344582299573071
28,10,3.199383031994474
28,11,1.5625061246248286
28,12,0.5391602813091154
28,13,0.13927794980265595
28,14,0.28340612042854296
28,15,1.2704429625278184
28,16,2.782726542445266
28,17,3.8323881459314197
28,18,4.384987632564757
28,19,4.505464766051489
28,20,4.348218967521085
28,21,3.8509147653562383
28,22,3.16355987267411
28,23,2.385128251089804
28,24,1.7001434039206602
28,25,1.0429952463380214
28,26,0.5311085146683281
28,27,0.23646191228511704
28,28,0.11200219714307202
28,29,0.42340950788322473
28,30,1.3060167500944226
28,31,1.9591508403495288
28,32,2.367168673246537
28,33,2.5306234591047465
28,34,2.5750549387171606
28,35,2.419042138406132
28,36,2.1522328384178877
28,37,1.8533728395250577
28,38,1.471746280364325
28,39,1.1096545188944216
29,1,28.903146344884767
29,2,27.172672328017146
29,3,24.491530789621
29,4,21.231921674613794
29,5,17.853682054967106
29,6,14.277578822979343
29,7,10.77568728592003
29,8,7.521420720069919
29,9,4.722456764759326
29,10,2.643327933089771
29,11,1.147568640949867
29,12,0.29474288672677496
29,13,0.21430601519552628
29,14,0.38966790903944926
29,15,2.2109740308538237
29,16,3.5642452527028023
29,17,4.367326018308589
29,18,4.663311495661183
29,19,4.5448169283397215
29,20,4.171159379350308
29,21,3.4873499042199523
29,22,2.677626466311846
29,23,1.8569956963882408
29,24,1.1332985557861353
29,25,0.6722508795104769
29,26,0.24906082276267583
29,27,0.1162040221945988
29,28,0.43718056204746425
29,29,1.3863040081380467
29,30,2.0692057541799533
29,31,2.493740576953541
29,32,2.6562286423988333
29,33,2.6185882861955303
29,34,2.434715772824619
29,35,2.1884518541025066
29,36,1.8045138588679563
29,37,1.4035902927454424
29,38,1.0332210266329023
29,39,0.692032492531717
30,1,29.851512647313864
30,2,27.948650007349578
30,3,25.037079052121847
30,4,21.529812931515895
30,5,17.767083454720584
30,6,13.96098501032479
30,7,10.272807660168251
30,8,6.909205534583004
30,9,4.107498420797039
30,10,2.1261801796460844
30,11,0.7946665284447505
30,12,0.12712453863060347
30,13,0.3074718716805096
30,14,1.3593369166862734
30,15,3.0772588214161054
30,16,4.203704956824287
30,17,4.741001720998767
30,18,4.783027754271844
30,19,4.4301891449679145
30,20,3.8533908797087433
30,21,3.022939431119018
30,22,2.1485268413746255
30,23,1.356037164348968
30,24,0.733446815179601
30,25,0.2668453759819789
30,26,0.12153139074176078
30,27,0.3773758598940864
30,28,1.4020424085481187
30,29,2.1134814554700503
30,30,2.592637723040119
30,31,2.7646566871172515
30,32,2.7188347583560173
30,33,2.511067272653082
30,34,2.1766503963823967
30,35,1.7630668654080512
30,36,1.3420909041948557
30,37,0.9553172472150955
30,38,0.610678640782135
30,39,0.22518213954587463
31,1,30.795168008432988
31,2,28.709247973480352
31,3,25.555953034445977
31,4,21.79169706460308
31,5,17.774258832234242
31,6,13.727641410397439
31,7,9.848093513890293
31,8,6.393150767765327
31,9,3.616709560476461
31,10,1.65629492582201
31,11,0.5038349086912461
31,12,0.12531108667645618
31,13,0.21621806343127936
31,14,2.30135410479964
31,15,3.8479528439970503
31,16,4.736445308901817
31,17,5.027170246486566
31,18,4.830069898835178
31,19,4.251918760965709
31,20,3.4239820215535106
31,21,2.4999858256970304
31,22,1.6278900498446562
31,23,0.9258490790129166
31,24,0.4111445876744444
31,25,0.0010757574301543116
31,26,0.23161620103381786
31,27,1.3450280883504897
